word,translation,example
der Tisch,the table,Der Tisch ist groß
das Buch,the book,Ich lese das Buch
die Tür,the door,Die Tür ist offen
das Fenster,the window,Das Fenster ist geschlossen
der Stuhl,the chair,Der Stuhl ist bequem
die Lampe,the lamp,Die Lampe leuchtet hell
der Teller,the plate,Der Teller ist sauber
das Glas,the glass,Das Glas ist voll
der Löffel,the spoon,Der Löffel ist aus Silber
die Gabel,the fork,Die Gabel liegt auf dem Tisch
das Messer,the knife,Das Messer ist scharf
der Kühlschrank,the refrigerator,Der Kühlschrank ist kalt
der Herd,the stove,Der Herd ist heiß
die Spüle,the sink,Die Spüle ist sauber
der Schrank,the cabinet,Der Schrank ist groß
das Bett,the bed,Das Bett ist bequem
der Tisch,the desk,Der Tisch steht im Büro
der Stuhl,the chair,Der Stuhl ist ergonomisch
das Sofa,the sofa,Das Sofa ist gemütlich
der Fernseher,the television,Der Fernseher ist groß
die Wand,the wall,Die Wand ist weiß
der Boden,the floor,Der Boden ist sauber
die Decke,the ceiling,Die Decke ist hoch
das Fenster,the window,Das Fenster ist offen
die Tür,the door,Die Tür ist geschlossen

